_const0_, CONST0, 0, 0
_const1_, CONST1, 1, 0
AND2_X1, (A1 & A2), 1000, 1.06, 31.65, 33.08
AND2_X2, (A1 & A2), 1000, 1.33, 31.65, 33.08
AND2_X4, (A1 & A2), 1000, 2.39, 31.65, 33.08
AND3_X1, ((A1 & A2) & A3), 10000000, 1.33, 36.59, 39.01, 40.03
AND3_X2, ((A1 & A2) & A3), 10000000, 1.6, 36.59, 39.01, 40.03
AND3_X4, ((A1 & A2) & A3), 10000000, 2.93, 36.59, 39.01, 40.03
AND4_X1, (((A1 & A2) & A3) & A4), 1000000000000000, 1.6, 41.44, 44.75, 46.63, 47.73
AND4_X2, (((A1 & A2) & A3) & A4), 1000000000000000, 1.86, 41.44, 44.75, 46.63, 47.73
AND4_X4, (((A1 & A2) & A3) & A4), 1000000000000000, 3.46, 41.44, 44.75, 46.63, 47.73
AOI21_X1, !(A | (B1 & B2)), 00010101, 1.06, 35.45, 30.05, 33.36
AOI21_X2, !(A | (B1 & B2)), 00010101, 1.86, 35.45, 30.05, 33.36
AOI21_X4, !(A | (B1 & B2)), 00010101, 3.46, 35.45, 30.05, 33.36
AOI22_X1, !((A1 & A2) | (B1 & B2)), 0000011101110111, 1.33, 32.84, 36.11, 41.03, 44.5
AOI22_X2, !((A1 & A2) | (B1 & B2)), 0000011101110111, 2.39, 32.84, 36.11, 41.03, 44.5
AOI22_X4, !((A1 & A2) | (B1 & B2)), 0000011101110111, 4.52, 32.84, 36.11, 41.03, 44.5
AOI211_X1, !(((C1 & C2) | B) | A), 0000000100010001, 1.33, 61.65, 59.45, 47.38, 51.99
AOI211_X2, !(((C1 & C2) | B) | A), 0000000100010001, 2.39, 61.65, 59.45, 47.38, 51.99
AOI211_X4, !(!(!(((C1 & C2) | B) | A))), 0000000100010001, 2.93, 61.65, 59.45, 47.38, 51.99
AOI221_X1, !(((C1 & C2) | A) | (B1 & B2)), 00000000000101010001010100010101, 1.6, 63.89, 68.74, 72.63, 51.88, 56.85
AOI221_X2, !(((C1 & C2) | A) | (B1 & B2)), 00000000000101010001010100010101, 2.93, 63.89, 68.74, 72.63, 51.88, 56.85
AOI221_X4, !(!(!(((C1 & C2) | A) | (B1 & B2)))), 00000000000101010001010100010101, 3.46, 63.89, 68.74, 72.63, 51.88, 56.85
AOI222_X1, !(((A1 & A2) | (B1 & B2)) | (C1 & C2)), 0000000000000000000001110111011100000111011101110000011101110111, 2.13, 55.98, 60.43, 70.49, 75.29, 76.87, 81.56
AOI222_X2, !(((A1 & A2) | (B1 & B2)) | (C1 & C2)), 0000000000000000000001110111011100000111011101110000011101110111, 3.72, 55.98, 60.43, 70.49, 75.29, 76.87, 81.56
AOI222_X4, !(!(!(((A1 & A2) | (B1 & B2)) | (C1 & C2)))), 0000000000000000000001110111011100000111011101110000011101110111, 3.72, 55.98, 60.43, 70.49, 75.29, 76.87, 81.56
BUF_X1, A, 10, 0.8, 28.46
BUF_X2, A, 10, 1.06, 28.46
BUF_X4, A, 10, 1.86, 28.46
BUF_X8, A, 10, 3.46, 28.46
BUF_X16, A, 10, 6.65, 28.46
BUF_X32, A, 10, 13.03, 28.46
CLKBUF_X1, A, 10, 0.8, 28.46
CLKBUF_X2, A, 10, 1.06, 28.46
CLKBUF_X3, A, 10, 1.33, 28.46
FA_X1, ((A & B) | (CI & (A | B))), 11101000, 4.26, 1, 1, 1
FA_X1, (CI ^ (A ^ B)), 10010110, 4.26, 1, 1, 1
HA_X1, (A & B), 1000, 2.66, 31.65, 33.08
HA_X1, (A ^ B), 0110, 2.66, 63.8, 66.64
INV_X1, !A, 01, 0.53, 15.23
INV_X2, !A, 01, 0.8, 15.23
INV_X4, !A, 01, 1.33, 15.23
INV_X8, !A, 01, 2.39, 15.23
INV_X16, !A, 01, 4.52, 15.23
INV_X32, !A, 01, 8.78, 15.23
MUX2_X1, ((S & B) | (A & !S)), 11001010, 1.86, 48.95, 47.66, 65.58
MUX2_X2, ((S & B) | (A & !S)), 11001010, 2.39, 48.95, 47.66, 65.58
NAND2_X1, !(A1 & A2), 0111, 0.8, 20.12, 22.69
NAND2_X2, !(A1 & A2), 0111, 1.33, 20.12, 22.69
NAND2_X4, !(A1 & A2), 0111, 2.39, 20.12, 22.69
NAND3_X1, !((A1 & A2) & A3), 01111111, 1.06, 25.39, 28.49, 29.78
NAND3_X2, !((A1 & A2) & A3), 01111111, 1.86, 25.39, 28.49, 29.78
NAND3_X4, !((A1 & A2) & A3), 01111111, 3.46, 25.39, 28.49, 29.78
NAND4_X1, !(((A1 & A2) & A3) & A4), 0111111111111111, 1.33, 29.95, 33.75, 35.85, 37.18
NAND4_X2, !(((A1 & A2) & A3) & A4), 0111111111111111, 2.39, 29.95, 33.75, 35.85, 37.18
NAND4_X4, !(((A1 & A2) & A3) & A4), 0111111111111111, 4.79, 29.95, 33.75, 35.85, 37.18
NOR2_X1, !(A1 | A2), 0001, 0.8, 24.79, 28.87
NOR2_X2, !(A1 | A2), 0001, 1.33, 24.79, 28.87
NOR2_X4, !(A1 | A2), 0001, 2.39, 24.79, 28.87
NOR3_X1, !((A1 | A2) | A3), 00000001, 1.06, 33.81, 40.89, 43.86
NOR3_X2, !((A1 | A2) | A3), 00000001, 1.86, 33.81, 40.89, 43.86
NOR3_X4, !((A1 | A2) | A3), 00000001, 3.72, 33.81, 40.89, 43.86
NOR4_X1, !(((A1 | A2) | A3) | A4), 0000000000000001, 1.33, 43, 53.64, 59.86, 62.81
NOR4_X2, !(((A1 | A2) | A3) | A4), 0000000000000001, 2.39, 43, 53.64, 59.86, 62.81
NOR4_X4, !(((A1 | A2) | A3) | A4), 0000000000000001, 4.79, 43, 53.64, 59.86, 62.81
OAI21_X1, !(A & (B1 | B2)), 01010111, 1.06, 27.07, 30.24, 35.03
OAI21_X2, !(A & (B1 | B2)), 01010111, 1.86, 27.07, 30.24, 35.03
OAI21_X4, !(A & (B1 | B2)), 01010111, 3.46, 27.07, 30.24, 35.03
OAI22_X1, !((A1 | A2) & (B1 | B2)), 0001000100011111, 1.33, 32.49, 37.22, 38.64, 43.33
OAI22_X2, !((A1 | A2) & (B1 | B2)), 0001000100011111, 2.39, 32.49, 37.22, 38.64, 43.33
OAI22_X4, !((A1 | A2) & (B1 | B2)), 0001000100011111, 4.52, 32.49, 37.22, 38.64, 43.33
OAI33_X1, !(((A1 | A2) | A3) & ((B1 | B2) | B3)), 0000000100000001000000010000000100000001000000010000000111111111, 1.86, 43.2, 50.42, 53.46, 56.95, 64.59, 67.74
OAI211_X1, !(((C1 | C2) & A) & B), 0111011101111111, 1.33, 33.57, 34.25, 35.28, 40.47
OAI211_X2, !(((C1 | C2) & A) & B), 0111011101111111, 2.39, 33.57, 34.25, 35.28, 40.47
OAI211_X4, !(((C1 | C2) & A) & B), 0111011101111111, 4.52, 33.57, 34.25, 35.28, 40.47
OAI221_X1, !(((C1 | C2) & A) & (B1 | B2)), 01010111010101110101011111111111, 1.6, 44.43, 57.43, 61.85, 46.55, 51.72
OAI221_X2, !(((C1 | C2) & A) & (B1 | B2)), 01010111010101110101011111111111, 2.93, 44.43, 57.43, 61.85, 46.55, 51.72
OAI221_X4, !(!(!(((C1 | C2) & A) & (B1 | B2)))), 01010111010101110101011111111111, 3.46, 44.43, 57.43, 61.85, 46.55, 51.72
OAI222_X1, !(((A1 | A2) & (B1 | B2)) & (C1 | C2)), 0001000100011111000100010001111100010001000111111111111111111111, 2.13, 49.84, 54.38, 58.03, 62.68, 63.38, 68.03
OAI222_X2, !(((A1 | A2) & (B1 | B2)) & (C1 | C2)), 0001000100011111000100010001111100010001000111111111111111111111, 3.72, 49.84, 54.38, 58.03, 62.68, 63.38, 68.03
OAI222_X4, !(!(!(((A1 | A2) & (B1 | B2)) & (C1 | C2)))), 0001000100011111000100010001111100010001000111111111111111111111, 3.72, 49.84, 54.38, 58.03, 62.68, 63.38, 68.03
OR2_X1, (A1 | A2), 1110, 1.06, 35.17, 38.72
OR2_X2, (A1 | A2), 1110, 1.33, 35.17, 38.72
OR2_X4, (A1 | A2), 1110, 2.39, 35.17, 38.72
OR3_X1, ((A1 | A2) | A3), 11111110, 1.33, 44.38, 51.12, 53.75
OR3_X2, ((A1 | A2) | A3), 11111110, 1.6, 44.38, 51.12, 53.75
OR3_X4, ((A1 | A2) | A3), 11111110, 2.93, 44.38, 51.12, 53.75
OR4_X1, (((A1 | A2) | A3) | A4), 1111111111111110, 1.6, 53.03, 63.17, 68.87, 71.2
OR4_X2, (((A1 | A2) | A3) | A4), 1111111111111110, 1.86, 53.03, 63.17, 68.87, 71.2
OR4_X4, (((A1 | A2) | A3) | A4), 1111111111111110, 3.46, 53.03, 63.17, 68.87, 71.2
XNOR2_X1, !(A ^ B), 1001, 1.6, 52, 56.37
XNOR2_X2, !(A ^ B), 1001, 2.66, 52, 56.37
XOR2_X1, (A ^ B), 0110, 1.6, 63.8, 66.64
XOR2_X2, (A ^ B), 0110, 2.39, 63.8, 66.64
